RegionID,RegionName,RegionType
394779,"Lawrenceburg, TN",msa
395037,"Rolla, MO",msa
395155,"Thomasville, GA",msa
395034,"Rockingham, NC",msa
394785,"Lewisburg, PA",msa
394384,"Big Rapids, MI",msa
394616,"Freeport, IL",msa
394482,"Coldwater, MI",msa
394990,"Ponca City, OK",msa
395129,"Stephenville, TX",msa
395228,"Willmar, MN",msa
394545,"Duncan, OK",msa
394448,"Cedartown, GA",msa
394650,"Greenville, MS",msa
394297,"Aberdeen, SD",msa
395081,"Sedalia, MO",msa
394895,"Muscatine, IA",msa
394934,"Okeechobee, FL",msa
394891,"Mountain Home, AR",msa
395230,"Wilmington, OH",msa
394558,"El Campo, TX",msa
394845,"McMinnville, TN",msa
394624,"Gainesville, TX",msa
394424,"Bucyrus, OH",msa
394449,"Celina, OH",msa
395158,"Tifton, GA",msa
394341,"Astoria, OR",msa
394409,"Bradford, PA",msa
395082,"Selinsgrove, PA",msa
394319,"Alma, MI",msa
395219,"West Plains, MO",msa
394354,"Austin, MN",msa
394627,"Garden City, KS",msa
394833,"Marshalltown, IA",msa
395026,"Riverton, WY",msa
394894,"Murray, KY",msa
395046,"Safford, AZ",msa
394844,"McComb, MS",msa
395178,"Urbana, OH",msa
394434,"Cambridge, OH",msa
394981,"Pittsburg, KS",msa
394663,"Hannibal, MO",msa
394574,"Espa-¦ola, NM",msa
394914,"Newberry, SC",msa
394300,"Ada, OK",msa
394507,"Crawfordsville, IN",msa
394715,"Jacksonville, IL",msa
394315,"Alexandria, MN",msa
395099,"Sikeston, MO",msa
394560,"El Dorado, AR",msa
394526,"Defiance, OH",msa
394904,"Natchitoches, LA",msa
394422,"Brownwood, TX",msa
394654,"Greenwood, MS",msa
394801,"Logansport, IN",msa
394690,"Houghton, MI",msa
394888,"Mount Vernon, IL",msa
395137,"Sulphur Springs, TX",msa
394451,"Centralia, IL",msa
395069,"Sault Ste. Marie, MI",msa
394499,"Corinth, MS",msa
394840,"Mayfield, KY",msa
394370,"Bay City, TX",msa
394436,"Campbellsville, KY",msa
394550,"Dyersburg, TN",msa
394948,"Owatonna, MN",msa
394385,"Big Spring, TX",msa
395192,"Vincennes, IN",msa
394506,"Coshocton, OH",msa
394696,"Huntington, IN",msa
394915,"Newport, TN",msa
394617,"Fremont, NE",msa
395083,"Selma, AL",msa
394713,"Jackson, WY",msa
395191,"Vidalia, GA",msa
395187,"Vernal, UT",msa
394781,"Lebanon, MO",msa
394525,"Decatur, IN",msa
394413,"Brenham, TX",msa
394702,"Hutchinson, MN",msa
394569,"Emporia, KS",msa
394573,"Escanaba, MI",msa
394419,"Brookings, SD",msa
394992,"Pontiac, IL",msa
394382,"Bennington, VT",msa
394973,"Peru, IN",msa
394430,"Butte, MT",msa
394786,"Lewisburg, TN",msa
394947,"Ottumwa, IA",msa
394777,"Laurinburg, NC",msa
394414,"Brevard, NC",msa
394557,"Effingham, IL",msa
394417,"Brookhaven, MS",msa
394535,"Dixon, IL",msa
395207,"Washington, IN",msa
753878,"Dayton, TN",msa
394835,"Martin, TN",msa
395165,"Troy, AL",msa
394984,"Plainview, TX",msa
395149,"Taos, NM",msa
394376,"Beeville, TX",msa
753892,"Jackson, OH",msa
394613,"Frankfort, IN",msa
394815,"Madison, IN",msa
395150,"Taylorville, IL",msa
394962,"Paris, TN",msa
394433,"Cambridge, MD",msa
394774,"Las Vegas, NM",msa
394481,"Coffeyville, KS",msa
394383,"Berlin, NH",msa
395196,"Wabash, IN",msa
394749,"Kingsville, TX",msa
394310,"Albert Lea, MN",msa
394473,"Cleveland, MS",msa
395176,"Union City, TN",msa
394725,"Jesup, GA",msa
394708,"Iron Mountain, MI",msa
394864,"Mineral Wells, TX",msa
394812,"Macomb, IL",msa
753901,"Ludington, MI",msa
394740,"Kennett, MO",msa
394673,"Hays, KS",msa
395206,"Washington Court House, OH",msa
394846,"McPherson, KS",msa
394795,"Lincoln, IL",msa
394435,"Camden, AR",msa
394320,"Alpena, MI",msa
395185,"Van Wert, OH",msa
394508,"Crescent City, CA",msa
394921,"North Vernon, IN",msa
394892,"Mountain Home, ID",msa
395100,"Silver City, NM",msa
394615,"Fredericksburg, TX",msa
395181,"Uvalde, TX",msa
394649,"Greensburg, IN",msa
395154,"Thomaston, GA",msa
394356,"Bainbridge, GA",msa
394642,"Grants, NM",msa
395110,"Spearfish, SD",msa
395159,"Toccoa, GA",msa
394381,"Bennettsville, SC",msa
394791,"Lexington, NE",msa
394858,"Middlesborough, KY",msa
394830,"Marshall, MN",msa
395138,"Summerville, GA",msa
394854,"Mexico, MO",msa
394706,"Indianola, MS",msa
394601,"Forrest City, AR",msa
394869,"Moberly, MO",msa
394322,"Altus, OK",msa
394529,"Deming, NM",msa
394868,"Mitchell, SD",msa
394784,"Levelland, TX",msa
394494,"Connersville, IN",msa
394831,"Marshall, MO",msa
394959,"Pampa, TX",msa
394337,"Arkadelphia, AR",msa
394837,"Maryville, MO",msa
394470,"Clarksdale, MS",msa
395239,"Worthington, MN",msa
753914,"Port Lavaca, TX",msa
395003,"Price, UT",msa
394403,"Borger, TX",msa
394544,"Dumas, TX",msa
394656,"Grenada, MS",msa
394700,"Huron, SD",msa
394718,"Jamestown, ND",msa
394659,"Guymon, OK",msa
394330,"Andrews, TX",msa
394996,"Portales, NM",msa
394678,"Hereford, TX",msa
753925,"Vineyard Haven, MA",msa
394676,"Helena, AR",msa
394841,"Maysville, KY",msa
395104,"Snyder, TX",msa
394968,"Pecos, TX",msa
394342,"Atchison, KS",msa
395142,"Sweetwater, TX",msa
395186,"Vermillion, SD",msa
753929,"Zapata, TX",msa
753874,"Craig, CO",msa
